,Lens ID,007-409-477-173-741,045-388-908-940-286,025-320-084-599-970,116-085-787-369-516,116-509-832-503-46X,131-292-364-160-556,179-132-294-510-213,043-454-317-567-459,062-055-064-561-85X,046-376-269-492-795,060-372-899-346-10X,097-421-372-053-520,027-396-266-532-738,061-018-838-320-648,063-359-887-330-154,066-382-980-653-77X,078-881-949-441-033,036-149-448-029-082,059-611-580-408-33X,118-102-398-817-762
84,051-858-967-360-549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00833855824065488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85,054-305-338-343-34X,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003025291895248268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,056-414-859-740-557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028091288217538743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,056-843-928-028-56X,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08268253473061979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,056-950-902-277-094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005436376076479613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89,058-201-431-727-742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006271696855845198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90,061-894-521-034-918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04975394423796309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,074-632-781-234-90X,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02142503351572414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,086-157-478-708-338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014787741015564106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93,099-651-790-941-367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0031629969074750937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94,103-364-820-610-122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02905393256623245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95,104-511-034-288-619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038088413538441016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96,116-584-634-731-701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029432540013719317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97,117-281-186-702-242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026590277083688357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98,120-820-618-313-83X,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006732843008566445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99,124-748-119-715-692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014039907213197547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,129-202-026-489-574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007325081837353346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101,138-044-330-708-116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02166021758828954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102,159-341-018-942-277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034815116506846606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103,164-013-219-239-121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04841573143085067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104,185-129-272-793-400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
105,185-847-512-601-188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
106,006-687-633-497-865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05287019772666344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107,010-165-399-327-919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03477220750798418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
108,019-178-979-244-511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028333354615033828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
109,032-707-667-937-548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07625073332655415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
110,039-572-877-788-682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05420832265457197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111,043-251-321-340-134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08346725254311856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112,052-670-916-661-239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05599196534921577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
113,056-146-827-136-55X,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013452865811655449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
114,056-979-885-047-930,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03701635252876285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115,057-197-413-657-247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03875498603686388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
116,062-724-086-574-032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025912231610126145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
117,065-776-954-434-253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015400349960211272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
118,068-347-597-479-448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002329602543663853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
119,076-147-310-562-230,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06317255754998215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
