,Lens ID,043-454-317-567-459,046-376-269-492-795,060-372-899-346-10X,066-382-980-653-77X,078-881-949-441-033,027-396-266-532-738,036-149-448-029-082,061-018-838-320-648,063-359-887-330-154,062-055-064-561-85X,025-320-084-599-970,059-611-580-408-33X,097-421-372-053-520,116-085-787-369-516,131-292-364-160-556,179-132-294-510-213,007-409-477-173-741,045-388-908-940-286,116-509-832-503-46X,118-102-398-817-762
103,012-629-049-920-451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0037105346017444994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104,018-426-685-841-728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09270191613454308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
105,026-048-467-239-979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03689805153626679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
106,032-050-236-233-836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023605429253521056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107,034-244-957-935-06X,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02528222755705983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
108,034-937-628-469-063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07139819627394159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
109,043-251-321-340-134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07999058738636264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
110,050-571-717-599-069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013256291882967921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111,054-597-134-280-815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02696042388688015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112,065-723-239-027-836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06890118919966455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
113,073-054-463-858-866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.055128940674309346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
114,087-931-774-679-603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017528777498977813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
