Lens ID,Title,Date Published,Publication Year,Publication Type,Source Title,ISSNs,Publisher,Source Country,Author/s,Abstract,Volume,Issue Number,Start Page,End Page,Fields of Study,Keywords,MeSH Terms,Chemicals,Funding,Source URLs,External URL,PMID,DOI,Microsoft Academic ID,PMCID,Patent Citation Count,References,Scholarly Citation Count
043-668-315-848-752,COCTA News,,1986,journal article,KNOWLEDGE ORGANIZATION,09437444,Nomos Verlag,,,,13,2,101,102,,,,,,,http://dx.doi.org/10.5771/0943-7444-1986-2-101,,10.5771/0943-7444-1986-2-101,,,0,,0
044-386-940-841-477,"Capurro, R.: Hermeneutics of special-subject information (M. Buscher)",,1988,journal article,KNOWLEDGE ORGANIZATION,09437444,Nomos Verlag,,,,15,1,42,43,,,,,,,http://dx.doi.org/10.5771/0943-7444-1988-1-42-1,,10.5771/0943-7444-1988-1-42-1,,,0,,0
045-703-659-304-189,P. A. Cochrane; Redesign of Catalogs and Indexes for Improved Online Subject Access: Selected Papers (G. Riesthuis),,1986,journal article,KNOWLEDGE ORGANIZATION,09437444,Nomos Verlag,,,,13,3,168,169,,,,,,,http://dx.doi.org/10.5771/0943-7444-1986-3-168,,10.5771/0943-7444-1986-3-168,,,0,,0
047-257-126-743-678,,,1987,journal issue,KNOWLEDGE ORGANIZATION,09437444,Nomos Verlag,,,,14,1,,,,,,,,,http://dx.doi.org/10.5771/0943-7444-1987-1,,10.5771/0943-7444-1987-1,,,0,,0
050-286-884-355-51X,Clusteranalysis as structure analysis (in German),,1989,journal article,Knowledge Organization,09437444,International Society for Knowledge Organization,Germany,Helfried Schmidt,,16,1,15,23,Regional science; German; Geography; Structure analysis,,,,,http://dx.doi.org/10.5771/0943-7444-1989-1-15,http://dx.doi.org/10.5771/0943-7444-1989-1-15,,10.5771/0943-7444-1989-1-15,2891974972,,0,,0
051-383-179-322-051,"SOUTH, Mary L. (Ed.): Dewey Decimal Classification for School Libraries. British and international edition. Albany, N.Y.: Forest Press 1986. IX,1 79p. ISBN 0-910 608-35-0",,1987,journal article,KNOWLEDGE ORGANIZATION,09437444,Nomos Verlag,,,,14,3,166,167,,,,,,,http://dx.doi.org/10.5771/0943-7444-1987-3-166,,10.5771/0943-7444-1987-3-166,,,0,,0
051-583-490-389-546,Titelei/Inhaltsverzeichnis,,1989,journal article,KNOWLEDGE ORGANIZATION,09437444,Nomos Verlag,,,,16,3,I,III,,,,,,,http://dx.doi.org/10.5771/0943-7444-1989-3-i,,10.5771/0943-7444-1989-3-i,,,0,,0
053-162-652-006-42X,E. Bülow: Der Wortschatz des Ethischen und die Grundwerte-Diskussion (H. Studer),,1985,journal article,KNOWLEDGE ORGANIZATION,09437444,Nomos Verlag,,,,12,1,46,47,,,,,,,http://dx.doi.org/10.5771/0943-7444-1985-1-46,,10.5771/0943-7444-1985-1-46,,,0,,0
053-677-371-093-398,COCTA News,,1988,journal article,KNOWLEDGE ORGANIZATION,09437444,Nomos Verlag,,,,15,1,36,36,,,,,,,http://dx.doi.org/10.5771/0943-7444-1988-1-36,,10.5771/0943-7444-1988-1-36,,,0,,1
055-791-653-154-998,Classification and Complexity,,1986,journal article,KNOWLEDGE ORGANIZATION,09437444,Nomos Verlag,,,,13,2,63,64,,,,,,,http://dx.doi.org/10.5771/0943-7444-1986-2-63,,10.5771/0943-7444-1986-2-63,,,0,,0
